Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
3.2E+1	******	******	******	******	5	1.35E-2	-4.79E-5	3.32E-3
3.21E+1	******	******	******	******	5	-3.55E-2	8.49E-6	-8.71E-3
3.22E+1	******	******	******	******	5	2.33E-2	-6.94E-5	5.72E-3
3.23E+1	******	******	******	******	5	6.49E-2	-9.53E-5	1.6E-2
3.24E+1	******	******	******	******	5	2.75E-3	-5.64E-5	6.75E-4
3.25E+1	******	******	******	******	5	-5.58E-2	1.61E-4	-1.37E-2
3.26E+1	******	******	******	******	5	6.93E-2	-7.58E-5	1.7E-2
3.27E+1	******	******	******	******	5	-7.67E-2	1.23E-4	-1.88E-2
3.28E+1	******	******	******	******	5	-5.89E-2	4.61E-5	-1.45E-2
3.29E+1	******	******	******	******	5	-5.09E-2	1.36E-4	-1.25E-2
3.3E+1	******	******	******	******	5	-3.92E-2	5.64E-5	-9.63E-3
3.31E+1	******	******	******	******	5	-1.32E-1	1.47E-4	-3.25E-2
3.32E+1	******	******	******	******	5	-9.28E-2	1.96E-4	-2.28E-2
3.33E+1	******	******	******	******	5	-8.45E-3	-4.33E-5	-2.08E-3
3.34E+1	******	******	******	******	5	-9.79E-2	1.24E-4	-2.41E-2
3.35E+1	******	******	******	******	5	-7.69E-2	-6.4E-5	-1.89E-2
3.36E+1	******	******	******	******	5	-2.62E-2	5.69E-5	-6.43E-3
3.37E+1	******	******	******	******	5	6.24E-4	-1.4E-4	1.53E-4
3.38E+1	******	******	******	******	5	-5.42E-2	-2.64E-5	-1.33E-2
3.39E+1	******	******	******	******	5	1.3E-2	-1.11E-4	3.2E-3
3.4E+1	******	******	******	******	5	3.51E-2	-4.87E-5	8.64E-3
